word,valence,arousal,dominance,concreteness,SUBTLEX,aoa
wallow,4.33,4.3,4.53,3.11,82.0,9.26
wallpaper,5.38,2.81,5.64,4.62,171.0,6.55
walnut,6.39,2.81,4.8,4.97,100.0,6.16
walrus,5.79,3.95,5.23,5.0,57.0,5.06
waltz,5.79,3.58,5.79,4.52,279.0,10.37
wand,5.42,4.0,5.5,4.73,157.0,6.39
wander,5.9,3.41,5.05,2.28,299.0,6.89
wanderer,5.68,3.82,5.52,3.21,32.0,9.56
wannabe,3.25,5.05,4.47,1.85,64.0,11.29
want,6.0,5.29,5.39,1.93,140718.0,4.16
wanton,5.24,3.15,4.14,2.92,42.0,13.69
war,2.23,6.27,3.27,3.63,8912.0,7.67
ward,4.43,3.28,4.21,3.59,727.0,10.72
warden,3.5,4.91,4.53,4.27,573.0,11.0
wardrobe,6.09,5.16,6.24,4.67,330.0,7.84
warehouse,4.43,3.57,5.06,4.69,509.0,8.58
warfare,3.14,6.5,3.25,3.03,150.0,8.95
warhead,3.45,6.43,4.33,4.07,165.0,10.5
warlock,3.9,5.55,4.95,3.9,185.0,9.68
warlord,2.95,5.57,5.0,4.4,39.0,12.0
warm,7.5,3.35,6.33,3.56,2659.0,4.65
warmth,7.53,4.33,6.32,3.39,227.0,6.26
warn,4.9,4.65,5.27,2.89,1293.0,5.74
warning,3.48,6.25,6.47,3.21,1630.0,6.11
warp,5.6,5.4,5.28,3.07,280.0,8.89
warpath,3.5,6.72,4.38,2.78,44.0,10.12
warped,4.5,4.48,5.52,2.81,83.0,9.4
warrant,3.23,5.61,4.11,3.73,1060.0,11.37
warranty,5.5,2.86,5.7,3.21,42.0,11.17
warrior,5.5,5.94,5.86,4.17,516.0,8.25
warship,3.52,4.39,4.11,4.86,48.0,10.44
wart,2.67,2.79,4.5,4.89,63.0,7.25
wartime,2.79,5.43,3.96,2.63,58.0,8.22
wary,3.9,3.96,5.16,1.82,38.0,10.11
wash,6.0,3.7,6.53,4.35,2077.0,4.0
washer,5.16,2.9,6.0,4.7,104.0,6.32
washout,3.7,3.52,4.11,2.77,38.0,10.73
washroom,4.9,2.83,6.08,4.76,86.0,6.0
wasp,2.71,5.33,3.8,4.96,73.0,5.58
waste,2.61,4.04,4.58,3.24,2716.0,6.5
wastebasket,4.67,4.15,5.14,4.63,32.0,5.68
wasteful,2.85,3.55,4.0,1.97,30.0,7.11
wasteland,3.05,4.4,4.57,4.0,50.0,12.37
watch,5.45,3.37,6.55,4.61,16831.0,4.33
watchdog,5.09,5.33,6.38,4.29,53.0,9.39
watcher,5.21,4.81,5.09,4.17,51.0,6.32
watchman,5.16,4.45,5.17,4.68,126.0,10.5
watchtower,4.67,3.7,4.9,4.43,22.0,9.0
water,7.0,3.71,6.12,5.0,11478.0,2.37
water polo,5.52,3.45,5.52,4.29,0.0,
waterbed,5.8,3.18,5.5,4.93,27.0,7.17
waterfall,7.79,4.35,5.34,4.9,95.0,5.47
waterfront,7.5,3.77,5.65,4.67,53.0,8.22
watering can,6.11,3.0,6.08,4.76,0.0,
watermelon,6.75,4.64,6.48,4.89,112.0,4.22
waterproof,5.8,3.78,6.0,3.6,50.0,8.68
waterworks,5.4,3.6,4.88,4.07,23.0,7.95
watery,4.79,3.24,5.18,3.93,36.0,6.65
wave,6.32,4.19,5.48,4.55,1084.0,4.26
wavelength,6.05,3.44,5.22,3.35,32.0,12.03
waver,5.18,3.84,5.33,2.56,22.0,11.26
wavy,6.32,2.5,5.0,3.5,28.0,5.89
wax,4.68,3.64,6.2,4.97,461.0,6.0
waxed,5.23,5.37,5.19,3.88,69.0,8.61
way,5.91,2.9,4.83,2.34,72661.0,5.39
wayward,5.9,4.21,4.91,2.21,38.0,10.53
weak,2.95,4.9,5.32,2.79,1607.0,5.58
weaken,3.3,4.19,3.42,2.37,60.0,7.95
weakling,3.55,4.21,3.79,3.14,43.0,9.58
weakness,3.24,4.43,3.81,2.59,454.0,8.44
wealth,7.33,5.24,6.53,2.63,324.0,8.76
wealthy,6.37,5.3,6.11,2.73,376.0,7.89
weapon,3.95,6.27,4.88,4.76,2379.0,6.95
weaponry,3.71,6.09,5.46,3.56,54.0,11.3
wear,6.36,3.33,5.72,3.61,5576.0,4.63
wearer,5.21,3.86,5.35,3.78,27.0,7.22
weary,3.25,2.9,4.55,3.0,212.0,9.56
weasel,3.71,4.92,4.77,4.74,250.0,7.25
weather,6.05,4.21,4.37,3.83,1746.0,5.94
weatherman,4.63,2.89,4.88,4.73,107.0,7.11
weave,5.41,3.1,6.36,4.2,105.0,9.89
web,5.68,4.14,3.96,4.37,470.0,5.37
website,6.76,3.58,5.68,4.52,220.0,12.66
wed,6.79,4.95,5.68,3.11,125.0,6.95
wedded,6.9,4.14,6.64,3.14,164.0,9.76
wedding,7.35,5.32,5.08,3.92,5173.0,6.0
wedge,4.74,3.24,5.04,4.41,119.0,9.42
wedlock,5.74,4.45,4.91,2.29,54.0,10.89
wee,5.95,3.3,5.8,3.14,434.0,6.39
weed,4.65,4.78,5.44,4.9,600.0,6.79
weeds,4.6,4.32,4.42,4.83,121.0,5.85
week,5.27,3.33,5.28,3.48,12164.0,5.11
weekday,4.62,3.68,5.32,3.18,22.0,6.78
weekend,7.17,5.81,7.11,3.83,3118.0,4.79
weekly,5.43,2.86,6.04,3.28,237.0,7.45
weenie,3.86,3.88,4.67,4.22,144.0,6.1
weep,2.88,4.0,4.17,4.54,280.0,8.5
weeping willow,6.53,3.7,5.29,4.83,0.0,
weepy,3.05,4.0,3.85,2.72,29.0,8.16
weigh,4.32,4.14,5.0,3.79,363.0,6.62
weight,3.91,4.05,5.95,3.94,1850.0,6.53
weird,5.09,4.29,4.75,1.59,5156.0,5.61
weirdness,4.82,4.56,5.38,1.93,48.0,8.61
weirdo,5.19,4.9,3.95,2.79,162.0,8.22
welcome,7.27,3.76,6.24,2.07,9140.0,4.06
weld,4.95,4.62,5.12,4.18,32.0,11.61
welder,5.57,3.8,5.58,4.82,25.0,9.37
welding,5.47,3.7,5.62,4.17,28.0,10.16
welfare,3.58,4.32,4.25,2.57,402.0,11.11
wellness,7.67,4.56,6.95,2.0,21.0,10.05
welsh,4.53,4.0,4.89,,,12.93
wench,4.52,4.06,3.91,3.86,88.0,10.72
werewolf,3.85,5.0,4.44,4.17,227.0,7.2
west,5.72,3.05,4.94,3.44,3088.0,5.89
westbound,5.18,4.74,5.84,2.84,46.0,10.32
western,5.35,4.48,5.29,2.8,679.0,6.67
wet,5.64,5.0,6.11,4.46,2000.0,2.47
wetback,2.75,3.67,3.95,2.96,24.0,13.44
whack,4.14,3.71,5.68,3.48,455.0,6.16
whale,5.81,4.2,5.57,4.96,574.0,5.47
whaling,3.26,3.2,4.35,3.68,45.0,10.26
whammy,4.95,5.75,4.48,2.16,34.0,9.11
wharf,5.24,3.65,5.62,4.6,65.0,10.88
whatnot,5.48,2.59,6.06,1.92,101.0,9.61
wheat,4.95,3.94,5.75,4.89,293.0,6.53
wheel,5.9,4.0,6.16,4.86,1380.0,4.4
wheel barrow,5.48,3.05,6.11,,,
wheelbarrow,5.17,3.1,5.87,4.79,31.0,6.78
wheelchair,3.64,3.74,3.95,4.93,316.0,6.89
wheeze,3.67,4.24,3.63,4.29,29.0,8.61
whelp,4.89,4.14,5.0,3.39,24.0,10.41
whereabouts,5.05,3.87,5.62,2.39,327.0,9.4
whiff,4.79,5.05,5.2,2.77,127.0,9.67
whim,6.16,4.05,5.85,1.69,119.0,10.74
whimper,3.9,4.29,4.72,4.37,37.0,8.24
whimsical,6.65,4.77,5.31,1.93,40.0,11.11
whimsy,5.52,3.81,5.88,1.85,24.0,10.26
whine,2.82,3.62,4.73,3.4,83.0,5.53
whiny,3.2,4.24,4.68,2.31,52.0,7.18
whip,3.6,5.1,4.43,4.68,671.0,7.0
whiplash,2.42,5.36,3.73,3.5,90.0,11.68
whirl,5.45,4.57,4.94,3.37,89.0,7.37
whirlpool,5.8,5.35,5.8,4.64,31.0,8.95
whirlwind,4.62,6.05,3.62,4.07,49.0,10.5
whisk,5.74,4.48,5.2,4.33,29.0,8.72
whiskers,6.0,4.61,4.81,4.89,109.0,5.11
whiskey,5.55,5.62,4.41,4.74,822.0,9.38
whisper,6.14,4.1,5.66,4.34,403.0,4.26
whistle,5.7,3.94,5.78,4.42,788.0,5.42
whit,5.48,4.05,6.08,,,10.67
white,6.18,3.35,5.71,3.89,8744.0,4.06
whitefish,5.1,2.67,4.48,4.48,25.0,10.44
whitewash,4.48,2.87,4.88,3.7,33.0,11.0
whittle,5.45,2.84,5.59,4.16,21.0,11.06
whiz,6.48,3.92,6.42,2.59,199.0,8.26
whole,5.86,3.48,6.24,3.25,19660.0,6.89
wholesale,6.33,3.48,5.08,3.07,85.0,11.7
wholesome,6.9,4.18,6.71,2.17,81.0,9.53
whopper,5.55,4.39,5.05,2.72,43.0,7.83
whopping,5.0,4.0,4.54,2.37,31.0,8.06
whore,2.7,6.29,4.89,4.15,1076.0,12.22
whorehouse,3.38,5.52,4.19,4.6,79.0,11.94
wicked,2.63,5.86,3.61,2.11,678.0,8.33
wickedness,2.86,6.0,4.14,1.72,39.0,8.79
wicker,4.79,3.06,4.76,4.3,48.0,9.5
wide,4.58,3.05,6.2,3.06,1214.0,5.84
widen,5.0,3.46,5.63,3.21,42.0,6.78
widespread,5.11,4.05,3.81,2.23,47.0,9.39
widow,2.28,3.5,4.12,4.33,617.0,9.0
widowed,3.05,4.78,3.1,3.22,29.0,10.17
widower,2.26,2.83,3.23,3.96,72.0,9.42
width,5.43,3.73,5.35,3.64,35.0,8.78
wield,4.82,4.53,5.8,3.07,39.0,11.33
wiener,4.74,4.94,5.0,4.81,113.0,7.4
wienie,4.52,3.84,4.47,4.52,21.0,7.17
wife,6.7,4.21,5.5,4.13,17795.0,5.67
wig,4.48,3.36,5.1,4.72,426.0,5.63
wiggle,5.57,5.04,5.38,3.93,152.0,3.95
wiki,5.85,3.64,6.63,,,18.52
wild,5.94,5.9,5.72,2.41,2923.0,6.11
wildcat,5.21,5.2,4.96,4.79,71.0,7.44
wildebeest,5.21,4.11,4.47,,,11.31
wilderness,6.68,4.85,4.48,3.79,201.0,8.95
wildfire,2.7,5.9,3.26,4.59,50.0,9.56
wildlife,7.75,5.67,5.88,4.26,98.0,6.22
will,5.32,2.9,6.61,2.64,108306.0,7.53
willful,5.91,3.71,6.23,1.81,35.0,
willies,4.45,4.57,4.92,,,8.9
willing,6.83,2.76,6.5,2.07,2512.0,8.58
willingness,6.43,4.25,6.4,1.81,68.0,8.79
willow,5.95,2.78,4.75,4.35,318.0,6.83
willpower,6.79,5.22,6.05,1.48,54.0,10.6
wilt,3.42,3.24,4.35,2.9,93.0,7.76
wily,4.58,4.71,4.6,,,10.88
wimp,3.05,2.38,4.55,2.9,159.0,7.26
wimpy,2.76,3.95,3.29,2.21,43.0,8.85
win,6.97,5.61,7.86,2.67,6867.0,4.22
winch,4.05,3.9,4.76,4.4,69.0,12.22
wind,5.67,3.7,4.5,3.93,3028.0,3.89
windbag,3.46,3.76,4.73,3.32,41.0,10.62
windmill,6.17,3.52,6.15,4.89,65.0,5.32
window,6.47,3.27,5.39,4.86,4386.0,4.74
windowsill,6.05,2.5,5.19,4.7,33.0,5.17
windpipe,3.95,3.73,5.04,4.75,46.0,9.28
windshield,5.4,4.75,5.58,4.86,167.0,7.85
windy,6.0,4.23,4.19,3.86,134.0,5.39
wine,5.85,4.24,5.67,4.79,3078.0,7.9
wine cooler,6.05,3.45,5.22,4.96,0.0,
wing,6.15,4.32,6.5,4.86,1032.0,4.79
winged,5.9,3.87,5.61,3.68,58.0,8.63
winger,4.95,2.7,5.32,,,13.27
wingman,5.14,3.9,5.88,3.61,57.0,12.76
wink,6.62,4.75,6.05,4.23,180.0,7.65
winner,7.86,6.53,7.42,3.21,1592.0,5.55
winnings,7.85,6.55,6.76,2.97,90.0,7.11
wino,3.05,3.25,4.85,,,11.22
winter,5.5,2.77,4.41,3.84,1337.0,4.38
wintertime,5.95,3.76,5.5,3.67,22.0,5.61
wipe,4.58,3.54,5.43,4.0,861.0,4.83
wiper,4.25,2.62,5.58,4.56,29.0,8.37
wire,4.86,4.2,6.16,4.72,1403.0,4.89
wireless,6.9,4.05,6.67,3.57,135.0,14.05
wiretap,2.95,5.23,2.71,4.25,27.0,13.05
wiring,5.05,3.75,5.1,4.64,118.0,9.21
wisdom,7.94,3.77,7.14,1.53,565.0,9.61
wise,7.42,4.46,6.86,1.97,1452.0,6.79
wish,7.14,3.38,6.5,1.77,11991.0,3.79
wishbone,6.2,4.0,5.21,4.68,25.0,7.16
wishful,6.84,4.4,5.42,2.36,53.0,8.5
wisp,5.13,3.59,5.35,2.87,21.0,9.71
wit,7.25,4.71,6.16,1.93,302.0,11.05
witch,3.14,5.3,4.79,4.17,1410.0,4.78
witchcraft,3.95,5.24,5.17,2.96,140.0,9.67
withdraw,4.11,3.95,4.67,3.04,337.0,9.89
withdrawal,4.45,4.32,4.41,2.33,146.0,9.78
wither,2.95,3.3,3.82,2.71,47.0,9.33
withering,3.7,4.38,4.03,3.21,21.0,10.18
withhold,3.7,3.47,4.36,2.68,53.0,12.3
withholding,3.11,4.14,4.7,2.15,96.0,12.8
withstand,5.95,4.21,6.59,2.27,83.0,10.05
witless,3.0,4.39,4.23,1.81,24.0,11.26
witness,5.61,3.67,4.44,4.07,2621.0,8.74
witty,7.25,5.65,6.57,2.21,163.0,10.32
wiz,6.1,4.23,5.19,3.07,29.0,8.94
wizard,6.52,4.09,4.68,4.43,542.0,6.26
wobble,4.9,3.5,5.2,3.6,30.0,6.56
wobbly,4.71,4.77,4.38,3.15,37.0,6.0
woe,3.38,4.71,3.92,1.96,119.0,10.75
wok,5.84,3.55,6.1,4.57,38.0,12.27
wolf,6.26,5.25,4.59,4.79,1034.0,4.5
wolverine,5.39,5.17,5.18,4.77,32.0,10.22
woman,7.09,3.8,5.93,4.46,22166.0,4.95
womanhood,5.89,4.74,5.0,2.55,39.0,10.65
womanizer,3.32,4.86,4.53,3.38,21.0,13.06
womb,5.7,2.8,4.36,4.37,177.0,9.48
wonder,6.68,4.38,6.44,1.8,5966.0,7.63
wonderful,7.41,4.57,7.19,1.82,8364.0,6.47
wondrous,6.73,4.52,6.16,1.46,83.0,11.0
wont,4.09,4.23,5.7,1.59,81.0,7.65
woo,6.37,4.33,5.32,2.19,343.0,10.88
wood,5.82,3.5,6.37,4.85,1377.0,4.58
wooden,5.27,4.0,5.79,4.61,367.0,5.89
woodland,6.43,2.46,5.15,3.76,57.0,7.21
woodpecker,5.76,4.48,5.36,4.93,50.0,6.5
woodshed,4.8,3.44,5.77,4.68,22.0,7.72
woodsman,5.06,3.27,5.04,4.58,23.0,9.75
woodwork,6.14,3.56,5.42,4.45,43.0,10.42
woof,6.76,5.15,5.22,3.9,141.0,3.53
wool,5.38,2.58,6.05,4.86,161.0,8.06
woolen,4.91,3.38,5.38,3.86,29.0,7.83
woozy,3.9,3.15,4.0,3.1,43.0,7.84
word,5.77,4.0,6.22,3.56,12013.0,4.42
work,5.05,4.33,6.12,3.48,40699.0,5.86
workaholic,3.48,4.05,4.92,2.44,28.0,10.11
worker,5.95,3.6,6.29,4.59,558.0,6.67
workings,5.5,2.95,5.56,2.59,42.0,8.2
workload,4.24,3.92,4.65,3.52,45.0,10.4
workman,5.95,3.76,5.0,4.11,40.0,6.06
workmanship,5.45,4.14,7.16,2.33,28.0,12.39
workout,6.16,5.64,6.09,3.89,141.0,8.68
workplace,5.38,3.5,5.56,4.48,124.0,10.06
workshop,6.35,3.57,6.08,4.54,143.0,7.78
workup,4.81,4.85,5.71,2.96,49.0,12.1
world,6.46,4.55,5.12,4.36,23216.0,5.32
worldly,5.62,3.36,6.56,1.86,77.0,10.61
worm,4.86,3.5,5.22,4.9,516.0,3.89
wormhole,4.95,4.09,3.86,3.89,98.0,12.35
wormwood,4.38,3.36,4.48,4.44,23.0,14.93
worried,3.27,5.81,4.18,2.21,4831.0,6.65
worry,2.1,6.33,3.17,2.55,14638.0,6.61
worrying,3.19,5.36,4.07,2.21,827.0,6.52
worship,5.57,3.78,4.65,2.62,409.0,7.0
worthless,1.89,4.45,2.71,1.97,473.0,9.33
worthwhile,6.7,3.68,6.88,2.0,206.0,10.56
worthy,6.56,4.77,7.04,2.0,527.0,10.28
would,5.91,3.81,5.94,1.12,90162.0,5.28
wound,3.24,4.65,3.64,4.24,1353.0,7.52
wounds,2.95,4.0,3.2,4.19,717.0,
wrap,5.57,3.85,5.31,4.11,908.0,7.0
wrapper,4.79,3.33,5.29,4.39,85.0,6.11
wrath,3.19,5.95,4.36,2.42,199.0,10.17
wreak,3.5,5.33,4.54,2.83,30.0,8.95
wreath,5.81,3.17,6.44,4.93,54.0,7.06
wreck,1.62,4.65,4.27,4.07,697.0,7.59
wreckage,3.38,5.71,3.9,4.46,106.0,8.47
wrecker,4.05,5.6,4.69,4.29,26.0,10.71
wrench,4.86,3.7,5.67,4.93,202.0,7.84
wrestle,4.53,4.55,5.81,4.33,176.0,5.0
wrestler,4.26,4.32,5.37,4.42,91.0,7.48
wrestling,4.62,4.24,5.12,4.38,446.0,6.89
wretch,3.41,4.85,4.91,3.04,83.0,10.25
wretched,2.57,3.8,3.79,2.03,185.0,10.22
wriggle,5.43,3.75,5.0,3.63,21.0,6.47
wring,4.95,3.89,5.48,4.0,62.0,8.18
wringer,4.0,3.28,4.55,,,8.69
wrinkle,4.0,4.61,4.29,4.3,96.0,7.21
wrinkled,3.74,3.8,5.04,4.29,86.0,7.26
wrist,5.06,3.27,5.26,4.93,527.0,5.94
wristwatch,5.63,3.75,5.12,4.85,59.0,7.32
writ,4.5,4.18,5.89,,,15.19
write,6.45,3.81,5.28,4.22,6467.0,4.89
writer,6.74,4.74,6.0,4.32,1200.0,7.32
wrong,3.24,5.29,3.39,1.83,26678.0,4.22
wrongdoing,3.58,4.77,5.32,2.43,26.0,9.75
wrongful,3.0,5.48,4.24,1.5,54.0,8.74
yacht,5.88,3.98,5.56,4.97,419.0,10.06
yahoo,4.95,5.6,5.9,2.58,149.0,12.11
yak,4.32,3.84,4.62,4.65,71.0,7.78
yank,4.47,4.5,3.86,4.1,240.0,7.33
yap,3.9,4.28,5.3,2.96,73.0,7.83
yard,5.7,3.68,5.84,4.82,1278.0,3.94
yarn,5.47,2.7,5.33,4.93,81.0,6.61
yawn,5.62,2.84,4.68,4.46,51.0,5.3
year,5.75,3.33,5.81,3.25,14174.0,5.24
yearbook,6.05,3.45,5.1,4.58,241.0,10.39
yearly,5.2,3.05,5.23,3.17,45.0,
yearn,5.95,3.73,5.18,1.76,49.0,11.65
yeast,4.58,3.26,4.8,4.72,44.0,9.53
yell,3.58,4.94,4.29,3.86,939.0,3.83
yeller,4.81,4.64,4.8,,,7.88
yellow,6.09,3.83,6.35,4.3,1724.0,3.2
yen,5.0,2.91,5.11,4.04,312.0,12.68
yield,5.19,3.85,5.06,2.93,206.0,8.0
yo-yo,6.33,4.04,5.91,5.0,0.0,
yodel,6.1,3.33,5.9,4.2,43.0,8.16
yoga,6.05,3.33,6.48,4.53,227.0,13.17
yogurt,7.0,4.52,6.0,4.9,116.0,3.72
yoke,5.39,3.4,4.2,4.83,22.0,7.94
yolk,5.32,3.05,5.67,4.78,21.0,5.89
young,6.31,4.09,5.6,3.16,12402.0,4.61
youngster,6.05,4.55,5.0,3.76,74.0,6.11
youth,6.53,4.14,5.0,3.28,858.0,6.89
youthful,6.89,5.68,6.0,2.9,79.0,8.79
yucky,3.36,4.35,4.36,1.86,22.0,4.17
yuletide,6.19,4.0,5.08,2.57,27.0,10.31
yummy,7.52,4.48,6.84,2.86,228.0,3.42
yuppie,4.64,4.65,5.39,2.68,45.0,13.33
zap,5.39,4.41,4.87,2.85,125.0,6.56
zeal,6.15,5.33,5.59,2.33,31.0,13.12
zebra,6.47,3.9,5.26,4.86,128.0,4.79
zenith,5.2,3.71,5.36,2.83,22.0,12.93
zephyr,5.5,3.41,5.22,,,13.69
zest,6.76,5.41,6.58,2.27,35.0,10.56
zeta,5.55,3.75,5.2,,,14.33
zigzag,5.18,5.42,5.0,3.52,23.0,6.06
zilch,3.89,4.05,4.25,,,9.35
zillion,5.81,4.26,4.89,2.33,67.0,8.67
zinc,4.79,3.17,5.0,4.4,43.0,12.47
zing,6.95,4.81,6.36,1.23,60.0,9.82
zip,5.06,4.24,4.67,3.5,389.0,5.3
zipper,5.11,3.73,5.18,4.83,144.0,5.0
zit,3.3,4.29,4.4,4.85,52.0,10.89
zodiac,5.55,4.25,4.32,3.07,31.0,9.84
zombie,3.57,6.53,3.57,4.16,184.0,7.68
zone,4.75,3.78,5.23,3.07,1026.0,8.79
zoning,4.65,3.77,4.47,2.45,61.0,11.84
zoo,7.0,5.63,6.33,4.81,696.0,3.75
zoom,5.86,5.68,5.9,3.1,181.0,8.57
zucchini,6.3,4.18,6.19,4.87,49.0,6.79
roadsweeper,,,,4.85,0.0,9.83
traindriver,,,,4.54,0.0,8.34
tush,,,,4.45,66.0,8.29
hairdress,,,,3.93,1.0,8.86
pharmaceutics,,,,3.77,0.0,13.88
hoover,,,,3.76,162.0,9.16
shopkeeping,,,,3.18,0.0,11.07
pushiness,,,,2.48,0.0,8.5
underdevelop,,,,2.37,0.0,10.88
tirelessness,,,,2.28,0.0,10.12
oldfashioned,,,,2.26,0.0,8.61
wellmannered,,,,2.25,0.0,8.21
dismissiveness,,,,1.83,0.0,12.13
spitefulness,,,,1.8,0.0,11.22
untruthfulness,,,,1.73,0.0,8.96
dispiritedness,,,,1.56,0.0,14.67
cymbal,,,,4.92,13.0,9.94
dogsled,,,,4.89,2.0,7.71
headrest,,,,4.8,6.0,7.68
armrest,,,,4.76,8.0,6.56
billfold,,,,4.71,12.0,9.38
flowerbed,,,,4.71,6.0,7.05
hemorrhoid,,,,4.68,18.0,13.88
arachnid,,,,4.65,13.0,11.88
underarm,,,,4.63,4.0,7.29
sleeveless,,,,4.6,5.0,6.75
helmeted,,,,4.58,1.0,
hula,,,,4.58,100.0,7.72
crematory,,,,4.56,14.0,12.0
pigtailed,,,,4.55,2.0,6.29
backrest,,,,4.52,1.0,8.35
farmhand,,,,4.52,3.0,7.89
afghan,,,,4.5,29.0,9.11
binocular,,,,4.5,1.0,7.32
sudsy,,,,4.48,3.0,8.33
wooded,,,,4.46,17.0,8.68
shirtless,,,,4.43,14.0,7.0
beaded,,,,4.41,11.0,8.37
woodcutting,,,,4.41,1.0,8.0
undercooked,,,,4.38,9.0,9.61
vertebrate,,,,4.38,7.0,10.55
bloodstained,,,,4.37,16.0,7.63
beardless,,,,4.36,8.0,8.0
indigo,,,,4.36,16.0,8.89
frozen,,,,4.34,782.0,5.6
barefooted,,,,4.33,9.0,5.37
hashish,,,,4.33,23.0,14.85
jeweled,,,,4.33,15.0,8.06
mummified,,,,4.33,14.0,10.05
pleated,,,,4.33,4.0,9.69
mustached,,,,4.32,1.0,7.63
roundtable,,,,4.32,3.0,9.84
uncircumcised,,,,4.32,14.0,13.05
bottled,,,,4.31,133.0,
sunlit,,,,4.31,9.0,8.0
capillary,,,,4.29,12.0,13.17
pimpled,,,,4.29,2.0,9.65
pygmy,,,,4.29,33.0,12.77
bobsledder,,,,4.28,5.0,7.58
gunmetal,,,,4.27,2.0,13.75
octagonal,,,,4.25,6.0,11.78
quilted,,,,4.25,4.0,10.26
unshaved,,,,4.25,2.0,9.74
dishwashing,,,,4.24,17.0,6.37
seamed,,,,4.24,1.0,
treeless,,,,4.24,2.0,9.18
unshaven,,,,4.24,6.0,10.0
caged,,,,4.22,83.0,
scaly,,,,4.22,16.0,7.83
cubical,,,,4.21,1.0,11.2
seedless,,,,4.21,10.0,7.11
baked,,,,4.19,341.0,
bowlegged,,,,4.19,12.0,9.59
dewy,,,,4.19,12.0,10.17
sequined,,,,4.19,14.0,9.2
longhaired,,,,4.18,8.0,7.05
forehand,,,,4.17,5.0,10.89
unshelled,,,,4.17,2.0,9.75
furrier,,,,4.16,13.0,
stutterer,,,,4.16,1.0,10.06
chalky,,,,4.14,6.0,8.05
skintight,,,,4.14,8.0,11.39
tanned,,,,4.14,31.0,
toeless,,,,4.14,1.0,8.56
whiskered,,,,4.14,3.0,8.46
swelling,,,,4.13,161.0,
unpaved,,,,4.12,3.0,8.68
wastewater,,,,4.12,1.0,11.53
corded,,,,4.11,1.0,
eyeless,,,,4.11,3.0,8.42
grey,,,,4.11,469.0,
manicured,,,,4.11,18.0,11.85
multicolored,,,,4.11,8.0,7.11
perforated,,,,4.11,24.0,
quadriplegic,,,,4.11,1.0,13.5
sockless,,,,4.11,1.0,6.79
bifocal,,,,4.1,1.0,11.39
waxy,,,,4.1,20.0,8.05
bicuspid,,,,4.09,5.0,12.5
fluorine,,,,4.09,5.0,13.47
sugared,,,,4.08,9.0,7.0
breaded,,,,4.07,11.0,9.11
bronzed,,,,4.07,17.0,10.0
creaky,,,,4.07,12.0,6.89
earless,,,,4.07,4.0,9.33
hieroglyphic,,,,4.07,7.0,12.0
legless,,,,4.07,6.0,8.37
spiky,,,,4.07,11.0,7.67
taller,,,,4.07,284.0,
triangular,,,,4.07,12.0,7.8
bioluminescent,,,,4.05,3.0,15.67
blinder,,,,4.04,6.0,
cupful,,,,4.04,1.0,6.4
lounger,,,,4.04,3.0,9.82
minced,,,,4.04,4.0,13.06
pebbled,,,,4.04,1.0,
scarlet,,,,4.04,167.0,11.36
serrated,,,,4.04,12.0,11.29
stubbly,,,,4.04,2.0,12.26
aboveground,,,,4.03,7.0,8.05
bipedal,,,,4.0,9.0,12.44
evergreen,,,,4.0,10.0,8.95
featherless,,,,4.0,2.0,10.33
invertebrate,,,,4.0,1.0,10.78
meatpacking,,,,4.0,12.0,9.33
pastel,,,,4.0,14.0,10.05
typewritten,,,,4.0,8.0,8.5
unpeeled,,,,4.0,2.0,
collarless,,,,3.97,1.0,11.33
hexagonal,,,,3.97,5.0,10.39
springy,,,,3.97,5.0,8.89
unbuckled,,,,3.97,12.0,5.63
cursive,,,,3.96,4.0,7.32
humpbacked,,,,3.96,7.0,8.21
pyrotechnic,,,,3.96,2.0,12.93
woolly,,,,3.96,24.0,
frilly,,,,3.93,16.0,9.11
glittering,,,,3.93,16.0,6.35
laminated,,,,3.93,18.0,10.53
northeastern,,,,3.93,16.0,10.28
sculptured,,,,3.93,3.0,
watermarked,,,,3.93,2.0,14.39
braless,,,,3.92,1.0,10.06
deepwater,,,,3.92,3.0,10.0
fleshless,,,,3.92,6.0,10.84
forkful,,,,3.92,1.0,6.84
hardboiled,,,,3.92,3.0,7.06
metacarpal,,,,3.92,7.0,16.31
subtotal,,,,3.92,2.0,10.0
gated,,,,3.9,13.0,
hooded,,,,3.9,15.0,8.28
jellied,,,,3.9,5.0,8.0
motorized,,,,3.9,15.0,9.12
phosphorous,,,,3.9,12.0,11.15
unsalted,,,,3.9,3.0,7.26
velvety,,,,3.9,8.0,8.0
contraceptive,,,,3.89,17.0,14.06
dimpled,,,,3.89,10.0,10.0
sugarless,,,,3.89,9.0,8.79
sugary,,,,3.89,15.0,7.1
frothy,,,,3.88,12.0,10.67
haired,,,,3.88,12.0,9.93
wigless,,,,3.88,1.0,11.27
florescent,,,,3.86,5.0,11.0
freckled,,,,3.86,6.0,6.58
smashing,,,,3.86,169.0,
stillborn,,,,3.86,15.0,13.05
uncooked,,,,3.86,5.0,8.0
windowless,,,,3.86,10.0,8.61
crisper,,,,3.85,9.0,
curdled,,,,3.85,8.0,10.0
gloved,,,,3.85,8.0,6.94
meatless,,,,3.85,8.0,11.15
southernmost,,,,3.85,4.0,10.83
jaundiced,,,,3.84,11.0,13.69
varicose,,,,3.84,14.0,12.17
webbed,,,,3.84,17.0,8.61
